user_id,anomalies
user_0001,repeted_login
user_0002,repeted_login
user_0003,"purchase_without_login, logout_without_login"
user_0004,"purchase_without_login, logout_without_login, repeted_login"
user_0005,"update_profile_without_login, repeted_login"
user_0006,logout_without_login
user_0007,"purchase_without_login, update_profile_without_login, logout_without_login, repeted_login"
user_0008,"repeted_login, purchase_without_login, logout_without_login"
user_0009,"logout_without_login, repeted_login"
user_0010,"purchase_without_login, repeted_login, logout_without_login"
user_0011,"purchase_without_login, logout_without_login, repeted_login"
user_0012,"purchase_without_login, logout_without_login, repeted_login"
user_0013,"purchase_without_login, update_profile_without_login, logout_without_login"
user_0014,"purchase_without_login, update_profile_without_login, repeted_login, logout_without_login"
user_0015,"purchase_without_login, update_profile_without_login, logout_without_login, repeted_login"
user_0016,"purchase_without_login, repeted_login"
user_0017,"purchase_without_login, logout_without_login, repeted_login"
user_0018,"update_profile_without_login, repeted_login"
user_0019,"update_profile_without_login, purchase_without_login, logout_without_login"
user_0020,purchase_without_login
user_0021,"logout_without_login, repeted_login"
user_0022,"repeted_login, purchase_without_login, logout_without_login"
user_0023,"logout_without_login, update_profile_without_login, purchase_without_login, repeted_login"
user_0024,"repeted_login, logout_without_login"
user_0025,"logout_without_login, repeted_login"
user_0026,"purchase_without_login, repeted_login"
user_0027,"repeted_login, logout_without_login"
user_0028,"repeted_login, logout_without_login"
user_0029,"logout_without_login, repeted_login"
user_0030,"update_profile_without_login, purchase_without_login, repeted_login"
user_0031,"update_profile_without_login, logout_without_login, repeted_login"
user_0032,"repeted_login, purchase_without_login, logout_without_login"
user_0033,"purchase_without_login, update_profile_without_login, repeted_login, logout_without_login"
user_0034,"repeted_login, logout_without_login"
user_0035,"repeted_login, logout_without_login"
user_0036,"update_profile_without_login, logout_without_login, repeted_login"
user_0037,"update_profile_without_login, logout_without_login"
user_0038,"purchase_without_login, logout_without_login"
user_0039,"repeted_login, logout_without_login"
user_0040,"repeted_login, update_profile_without_login, purchase_without_login, logout_without_login"
user_0041,"logout_without_login, update_profile_without_login, purchase_without_login, repeted_login"
user_0042,"purchase_without_login, logout_without_login"
user_0043,"update_profile_without_login, purchase_without_login, logout_without_login"
user_0044,"update_profile_without_login, repeted_login"
user_0045,"repeted_login, purchase_without_login, logout_without_login"
user_0046,"update_profile_without_login, logout_without_login, repeted_login"
user_0047,"update_profile_without_login, repeted_login"
user_0048,"logout_without_login, repeted_login"
user_0049,"update_profile_without_login, logout_without_login"
user_0050,"purchase_without_login, logout_without_login"
